if_id,source_file,source_line,route_pattern,methods,expanded_paths,expanded_routes
IF-CS-052,spec/framework/23-interface-contract-catalog.md,100,/_matrix/client/*/rooms/{roomId}/hierarchy,GET,/_matrix/client/v1/rooms/{roomId}/hierarchy,GET /_matrix/client/v1/rooms/{roomId}/hierarchy
IF-CS-052,spec/framework/23-interface-contract-catalog.md,100,/_matrix/client/*/search,POST,/_matrix/client/v3/search,POST /_matrix/client/v3/search
IF-CS-052,spec/framework/23-interface-contract-catalog.md,100,/_matrix/client/*/user_directory/search,POST,/_matrix/client/v3/user_directory/search,POST /_matrix/client/v3/user_directory/search
IF-CS-053,spec/framework/23-interface-contract-catalog.md,113,/_matrix/client/*/directory/list/room/{roomId},"GET,PUT",/_matrix/client/v3/directory/list/room/{roomId},GET /_matrix/client/v3/directory/list/room/{roomId} | PUT /_matrix/client/v3/directory/list/room/{roomId}
IF-CS-053,spec/framework/23-interface-contract-catalog.md,113,/_matrix/client/*/directory/room/{roomAlias},"GET,PUT,DELETE",/_matrix/client/v3/directory/room/{roomAlias},GET /_matrix/client/v3/directory/room/{roomAlias} | PUT /_matrix/client/v3/directory/room/{roomAlias} | DELETE /_matrix/client/v3/directory/room/{roomAlias}
IF-CS-053,spec/framework/23-interface-contract-catalog.md,113,/_matrix/client/*/joined_rooms,GET,/_matrix/client/v3/joined_rooms,GET /_matrix/client/v3/joined_rooms
IF-CS-053,spec/framework/23-interface-contract-catalog.md,113,/_matrix/client/*/room_summary/{roomIdOrAlias},GET,/_matrix/client/v1/room_summary/{roomIdOrAlias},GET /_matrix/client/v1/room_summary/{roomIdOrAlias}
IF-CS-053,spec/framework/23-interface-contract-catalog.md,113,/_matrix/client/*/rooms/{roomId}/aliases,GET,/_matrix/client/v3/rooms/{roomId}/aliases,GET /_matrix/client/v3/rooms/{roomId}/aliases
IF-CS-054,spec/framework/23-interface-contract-catalog.md,114,/_matrix/client/*/notifications,GET,/_matrix/client/v3/notifications,GET /_matrix/client/v3/notifications
IF-CS-055,spec/framework/23-interface-contract-catalog.md,115,/_matrix/client/*/pushers,GET,/_matrix/client/v3/pushers,GET /_matrix/client/v3/pushers
IF-CS-055,spec/framework/23-interface-contract-catalog.md,115,/_matrix/client/*/pushers/set,POST,/_matrix/client/v3/pushers/set,POST /_matrix/client/v3/pushers/set
IF-CS-056,spec/framework/23-interface-contract-catalog.md,116,/_matrix/client/*/rooms/{roomId}/upgrade,POST,/_matrix/client/v3/rooms/{roomId}/upgrade,POST /_matrix/client/v3/rooms/{roomId}/upgrade
IF-CS-057,spec/framework/23-interface-contract-catalog.md,117,/_matrix/client/*/rooms/{roomId}/report,POST,/_matrix/client/v3/rooms/{roomId}/report,POST /_matrix/client/v3/rooms/{roomId}/report
IF-CS-057,spec/framework/23-interface-contract-catalog.md,117,/_matrix/client/*/rooms/{roomId}/report/{eventId},POST,/_matrix/client/v3/rooms/{roomId}/report/{eventId},POST /_matrix/client/v3/rooms/{roomId}/report/{eventId}
IF-CS-057,spec/framework/23-interface-contract-catalog.md,117,/_matrix/client/*/users/{userId}/report,POST,/_matrix/client/v3/users/{userId}/report,POST /_matrix/client/v3/users/{userId}/report
IF-CS-058,spec/framework/23-interface-contract-catalog.md,118,/_matrix/client/*/media/preview_url,GET,/_matrix/client/v1/media/preview_url,GET /_matrix/client/v1/media/preview_url
IF-CS-058,spec/framework/23-interface-contract-catalog.md,118,/_matrix/media/*/preview_url,GET,/_matrix/media/v3/preview_url,GET /_matrix/media/v3/preview_url
IF-CS-059,spec/framework/23-interface-contract-catalog.md,119,/_matrix/client/*/login/sso/redirect,GET,/_matrix/client/v3/login/sso/redirect,GET /_matrix/client/v3/login/sso/redirect
IF-CS-059,spec/framework/23-interface-contract-catalog.md,119,/_matrix/client/*/login/sso/redirect/{idpId},GET,/_matrix/client/v3/login/sso/redirect/{idpId},GET /_matrix/client/v3/login/sso/redirect/{idpId}
IF-CS-060,spec/framework/23-interface-contract-catalog.md,120,/_matrix/client/*/account/3pid,GET,/_matrix/client/v3/account/3pid,GET /_matrix/client/v3/account/3pid
IF-CS-060,spec/framework/23-interface-contract-catalog.md,120,/_matrix/client/*/account/3pid,POST,/_matrix/client/v3/account/3pid,POST /_matrix/client/v3/account/3pid
IF-CS-060,spec/framework/23-interface-contract-catalog.md,120,/_matrix/client/*/account/3pid/add,POST,/_matrix/client/v3/account/3pid/add,POST /_matrix/client/v3/account/3pid/add
IF-CS-060,spec/framework/23-interface-contract-catalog.md,120,/_matrix/client/*/account/3pid/bind,POST,/_matrix/client/v3/account/3pid/bind,POST /_matrix/client/v3/account/3pid/bind
IF-CS-060,spec/framework/23-interface-contract-catalog.md,120,/_matrix/client/*/account/3pid/delete,POST,/_matrix/client/v3/account/3pid/delete,POST /_matrix/client/v3/account/3pid/delete
IF-CS-060,spec/framework/23-interface-contract-catalog.md,120,/_matrix/client/*/account/3pid/email/requestToken,POST,/_matrix/client/v3/account/3pid/email/requestToken,POST /_matrix/client/v3/account/3pid/email/requestToken
IF-CS-060,spec/framework/23-interface-contract-catalog.md,120,/_matrix/client/*/account/3pid/msisdn/requestToken,POST,/_matrix/client/v3/account/3pid/msisdn/requestToken,POST /_matrix/client/v3/account/3pid/msisdn/requestToken
IF-CS-060,spec/framework/23-interface-contract-catalog.md,120,/_matrix/client/*/account/3pid/unbind,POST,/_matrix/client/v3/account/3pid/unbind,POST /_matrix/client/v3/account/3pid/unbind
IF-CS-061,spec/framework/23-interface-contract-catalog.md,121,/_matrix/client/*/admin/whois/{userId},GET,/_matrix/client/v3/admin/whois/{userId},GET /_matrix/client/v3/admin/whois/{userId}
IF-CS-061,spec/framework/23-interface-contract-catalog.md,121,/_matrix/client/*/thirdparty/location,GET,/_matrix/client/v3/thirdparty/location,GET /_matrix/client/v3/thirdparty/location
IF-CS-061,spec/framework/23-interface-contract-catalog.md,121,/_matrix/client/*/thirdparty/location/{protocol},GET,/_matrix/client/v3/thirdparty/location/{protocol},GET /_matrix/client/v3/thirdparty/location/{protocol}
IF-CS-061,spec/framework/23-interface-contract-catalog.md,121,/_matrix/client/*/thirdparty/protocol/{protocol},GET,/_matrix/client/v3/thirdparty/protocol/{protocol},GET /_matrix/client/v3/thirdparty/protocol/{protocol}
IF-CS-061,spec/framework/23-interface-contract-catalog.md,121,/_matrix/client/*/thirdparty/protocols,GET,/_matrix/client/v3/thirdparty/protocols,GET /_matrix/client/v3/thirdparty/protocols
IF-CS-061,spec/framework/23-interface-contract-catalog.md,121,/_matrix/client/*/thirdparty/user,GET,/_matrix/client/v3/thirdparty/user,GET /_matrix/client/v3/thirdparty/user
IF-CS-061,spec/framework/23-interface-contract-catalog.md,121,/_matrix/client/*/thirdparty/user/{protocol},GET,/_matrix/client/v3/thirdparty/user/{protocol},GET /_matrix/client/v3/thirdparty/user/{protocol}
IF-CS-062,spec/framework/23-interface-contract-catalog.md,122,/_matrix/client/*/user/{userId}/openid/request_token,POST,/_matrix/client/v3/user/{userId}/openid/request_token,POST /_matrix/client/v3/user/{userId}/openid/request_token
IF-CS-063,spec/framework/23-interface-contract-catalog.md,123,/_matrix/client/*/voip/turnServer,GET,/_matrix/client/v3/voip/turnServer,GET /_matrix/client/v3/voip/turnServer
IF-CS-064,spec/framework/23-interface-contract-catalog.md,124,/_matrix/client/*/events,GET,/_matrix/client/v3/events,GET /_matrix/client/v3/events
IF-CS-064,spec/framework/23-interface-contract-catalog.md,124,/_matrix/client/*/events/{eventId},GET,/_matrix/client/v3/events/{eventId},GET /_matrix/client/v3/events/{eventId}
IF-CS-064,spec/framework/23-interface-contract-catalog.md,124,/_matrix/client/*/initialSync,GET,/_matrix/client/v3/initialSync,GET /_matrix/client/v3/initialSync
